a,긍정,부정,진보,보수,찬성,반대,b,c,d
0,2.82,44.36,20.39,36.65,24.15,57.6,추모예배 참석한 尹 “지켜주지 못해 미안...비극 또 없게 할 것”,"이태원 핼러윈 참사 국가애도기간 마지막 날인 5일 윤석열 대통령이 “꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것”이라고 밝혔다. 윤 대통령은 이날 백석대학교 서울캠퍼스 하은홀에서 열린 ‘한국교회 이태원 참사 위로예배’에서 “부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다”며 이같이 말했다. 윤 대통령은 “마음이 무겁다. 참으로 가슴이 아프다”며 “무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것”이라고 했다. 이어 “이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔”이라며 “늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다”고 했다. 그러면서 “저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다”고 했다. 이날 예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 자리했다. 개신교계에서는 김삼환 명성교회 원로목사, 김장환 극동방송 이사장, 장종현 대한예수교장로회 백석 총회장, 오정현 한국교회봉사단 이사장, 고명진 수원중앙침례교회 담임목사, 김태영 백양로교회 담임목사, 이순창 대한예수교장로회 통합 총회장, 김주헌 기독교대한성결교회 총회장과 교인 등 총 1000여명이 참석했다. 앞서 윤 대통령은 김건희 여사와 함께 전날 조계사에서 진행된 ‘이태원 참사 희생 영가 추모 위령법회’도 참석해 위로의 뜻을 전했다. 당시 윤 대통령은 “그 어떠한 말로도 이 슬픔을 대신할 길이 없는 것 같다”며 “희생자의 명복을 빌며 유가족들께도 위로의 말씀을 올린다”고 말했다. 이어 “국민의 생명과 안전을 책임져야 하는 대통령으로서 너무나 비통하고 죄송한 마음”이라며 “슬픔과 아픔이 깊은 만큼 책임 있게 사고를 수습하고, 무엇보다 다시는 이러한 비극이 발생하지 않도록 하는 큰 책임이 저와 정부에 있음을 잘 알고 있다”고 했다. 그러면서 “유가족분들과 치료 중인 분들도 더욱 세심히 살피고 끝까지 챙기겠다”며 “저와 정부는 다시는 이런 비극을 겪지 않도록 최선을 다하겠다”고 했다. 윤 대통령 부부는 지난달 31일 서울시청 앞 광장에 마련된 이태원 참사 합동분향소를 함께 찾아 애도를 표한 바 있다.",https://v.daum.net/v/20221105185002475
0,12.31,50.22,31.75,42.74,30.03,72.46,"尹대통령 “청년들 못지킨 미안함, 영원히 떠나지 않을 것”","윤석열 대통령은 ‘이태원 압사 참사’와 관련 “꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것”이라고 밝혔다. 윤 대통령은 5일 백석대학교 서울캠퍼스 하은홀에서 열린 ‘한국교회 이태원 참사 위로예배’에서 한 위로의 말에서 “부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다”며 이같이 말했다. 이날 예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했다. “무한한 책임감으로 이런 비극 발생 하지 않게” 윤 대통령은 “마음이 무겁다. 참으로 가슴이 아프다”면서 “무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것”이라고 약속했다. 그러면서 “이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔”이라며 “늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다”고 당부했다. 또 윤 대통령은 “저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다”고 요청했다. 전날 불교 이어 두번째 ‘종교 추모행사’ 윤 대통령은 전날 조계사에서 진행된 ‘이태원 참사 희생 영가 추모 위령법회’에 참석한 바 있다. 이날 예배행서 윤 대통령과 김 여사는 기도 시간에 함께 고개를 숙이고 기도했다. 김 여사는 찬송 시간에 예배 안내서를 보면서 찬송가를 함께 불렀다. 이순창 총회장은 ‘국가와 사회를 위한 한국교회의 입장문’에서 “정부는 애도하며 추모하는 국민의 아픔을 위로하며, 생명과 안전을 견고히 하는 사회가 되도록 노력해 주시기를 기대하고 바란다”고 밝혔다. 이어 “국민의 생명을 최우선으로 삼아 사전에 대비하며, 온 정성의 최선을 다해 주시기를 바란다”며 “슬픔을 극복하고 더 안전한 대한민국을 세워 달라”고 주문했다. 이 총회장은 아울러 “한국교회 1천만 성도들이 고통하는 이들과 손잡고 같이 가겠다”며 “참담한 슬픔을 우리의 가슴에 담고, 여러분의 이러한 슬픔이 다시 반복되지 않도록 끝까지 노력하겠다”고 강조했다. 김채현 기자",https://v.daum.net/v/20221105165502659
0,14.89,29.78,34.87,47.29,27.68,69.17,尹 대통령 “꽃다운 청년들 지켜주지 못해 미안한 마음”,"    윤석열 대통령은 5일 이태원 참사와 관련해 “마음이 무겁다. 참으로 가슴이 아프다”며 “무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것”이라고 밝혔다. 윤 대통령은 이날 백석대학교 서울캠퍼스 하은홀에서 열린 ‘한국교회 이태원 참사 위로예배’에서 한 위로의 말에서 “부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다”며 “꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것”이라며 이 같이 말했다. 그러면서 “이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔”이라며 “저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 여러분의 많은 기도를 부탁드린다”고 덧붙였다. 윤 대통령은 전날 서울 조계사에서 열린 ‘이태원 참사 희생 영가 추모 위령법회’에 참석한 데 이어 이날 개신교계 추모 행사도 김건희 여사와 함께 참석했다. 윤 대통령은 이 자리에서 “국민 생명과 안전을 책임져야 하는 대통령으로서 비통하고 죄송한 마음”이라며 공식 석상에서 처음으로 사과했다. ",https://v.daum.net/v/20221105164200445
0,13.88,29.34,23.93,40.87,21.27,36.65,"尹대통령, 이태원 참사 위로 예배 “청년들 지키지 못해…영원히 미안한 마음”"," 윤석열 대통령은 5일 이태원 참사와 관련해 “마음이 무겁다. 참으로 가슴이 아프다”며 “무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것”이라고 밝혔다.  윤 대통령은 이날 백석대학교 서울캠퍼스 하은홀에서 열린 ‘한국교회 이태원 참사 위로예배’에서 한 위로의 말에서 “부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다”며 “꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것”이라며 이 같이 말했다.   윤 대통령은 그러면서 “이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔”이라며 “늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다”고 했다.  또 “저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다”고 말했다.  윤 대통령은 전날 조계사에서 진행된 ‘이태원 참사 희생 영가 추모 위령법회’에 참석한 데 이어 이날 개신교계 추모 행사를 찾아 위로의 뜻을 전했다.  예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했다.  윤 대통령과 김 여사는 기도 시간에 함께 고개를 숙이고 기도했다. 김 여사는 찬송 시간에 예배 안내서를 보면서 찬송가를 함께 불렀다.  정시내 기자 jung.sinae@joongang.co.kr",https://v.daum.net/v/20221105160728960
0,2.42,51.6,18.25,33.4,10.01,69.87,尹 “꽃다운 청년들 지켜주지 못한 미안한 마음 영원히 떠나지 않을 것” [이태원 핼러윈 참사],"             윤 대통령은 이날 서울 서초구 백석대?서울캠퍼스에서 열린 ‘한국교회 이태원 참사 위로예배’에 참석해?한 위로의 말에서 “부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다”며 이같이 말했다.                           세계일보는 이번 참사로 안타깝게 숨진 분들의 명복을 빌며, 유족들의 슬픔에 깊은 위로를 드립니다.              이강진 기자 jin@segye.com            윤석열 대통령은 5일?“꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것”이라고 말했다. 윤 대통령은 “마음이 무겁다. 참으로 가슴이 아프다”면서 “무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것”이라고 약속했다. 그러면서 “이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔”이라며 “저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록?여러분의 많은 기도를 부탁드린다”고 덧붙였다. 앞서 윤 대통령은 전날?서울 종로구 조계사에서 열린 ‘이태원 참사 희생 영가 추모 위령법회’에 참석해 추도사를 통해 “국민의 생명과 안전을 책임져야 하는 대통령으로서 너무나 비통하고 죄송한 마음”이라며 공식 석상에서 사과했다. 이날 예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했다.",https://v.daum.net/v/20221105155411725
0,6.68,63.67,29.53,41.61,25.25,70.88,"윤 대통령 ""청년들 못 지킨 미안함 영원히 떠나지 않을 것""","윤석열 대통령은 오늘(5일) '이태원 압사 참사'와 관련 ""꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것""이라고 밝혔습니다. 윤 대통령은 이날 백석대학교 서울캠퍼스 하은홀에서 열린 '한국교회 이태원 참사 위로예배'에서 한 위로의 말에서 ""부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다""며 이같이 말했습니다. 윤 대통령은 ""마음이 무겁다. 참으로 가슴이 아프다""면서 ""무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것""이라고 약속했습니다. 그러면서 ""이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔""이라며 ""늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다""고 당부했습니다. 윤 대통령은 또 ""저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다""고 요청했습니다. 윤 대통령은 전날 조계사에서 진행된 '이태원 참사 희생영가 추모 위령법회'에 참석한 데 이어 이날 개신교계 추모 행사를 찾아 위로의 뜻을 전했습니다. 예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했습니다. 개신교계에서는 김삼환 명성교회 원로목사, 김장환 극동방송 이사장, 장종현 대한예수교장로회 백석 총회장, 고명진 수원중앙침례교회 담임목사, 김태영 백양로교회 담임목사, 이순창 대한예수교장로회 통합총회장, 김주헌 기독교대한성결교회 총회장과 교인 등 총 1천여 명이 자리했습니다. 윤 대통령과 김 여사는 기도 시간에 함께 고개를 숙이고 기도했습니다. 김 여사는 찬송 시간에 예배 안내서를 보면서 찬송가를 함께 불렀습니다. 이순창 총회장은 '국가와 사회를 위한 한국교회의 입장문'에서 ""정부는 애도하며 추모하는 국민의 아픔을 위로하며, 생명과 안전을 견고히 하는 사회가 되도록 노력해주시기를 기대하고 바란다""고 밝혔습니다. (사진=대통령실통신사진기자단, 연합뉴스) 김기태 기자KKT@sbs.co.kr",https://v.daum.net/v/20221105153900507
0,5.68,19.59,30.62,35.09,24.31,37.47,"尹 ""꽃다운 청년들 지키지 못한 미안함 영원할 것""…이틀째 사과","윤석열 대통령이 이태원 참사와 관련해 ""꽃다운 청년들을 지키지 못한 미안한 마음이 영원히 저를 떠나지 않을 것""이라고 말했다. 윤 대통령은 5일 서울 서초구 백석대 서울캠퍼스에서 열린 한국교회 이태원 참사 위로 예배에 참석해 이같이 밝혔다. 그는 ""부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다""며 ""마음이 무겁다. 참으로 가슴이 아프다""고 했다. 이어 ""이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔""이라며 ""무한한 책임감으로 이러한 비극이 발생하지 않도록 하겠다""고 덧붙였다. 그러면서 ""저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다""고 했다. 윤 대통령은 전날 서울 조계사에서 열린 '이태원 참사 희생 영가 추모 위령법회'에 참석한 데 이어 이날 개신교계 추모 행사도 김건희 여사와 함께 참석했다. 그는 전날 열린 '이태원 참사 희생 영가 추모 위령법회'에서 ""국민 생명과 안전을 책임져야 하는 대통령으로서 비통하고 죄송한 마음""이라며 공식 석상에서 처음으로 사과했다. 이날 예배에서도 희생자들에 대해 미안함을 내비치며 이틀째 사과했다. 기도 시간에는 김 여사와 함께 고개를 숙이고 기도했다. 김 여사는 찬송 시간에 예배 안내서를 보면서 찬송가를 부르기도 했다. 김수영 한경닷컴 기자 swimmingk@hankyung.com",https://v.daum.net/v/20221105153402444
0,8.34,30.24,31.59,41.72,35.62,61.81,"尹 ""꽃다운 청년 지켜주지못한 미안한 마음, 영원히 떠나지 않을 것"""," ※CBS노컷뉴스는 여러분의 제보로 함께 세상을 바꿉니다. 각종 비리와 부당대우, 사건사고와 미담 등 모든 얘깃거리를 알려주세요.  이메일 :jebo@cbs.co.kr 카카오톡 :@노컷뉴스 사이트 :https://url.kr/b71afn   윤석열 대통령은 5일 한국교회 이태원 참사 위로예배에 참석해 ""꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것""이라고 밝혔다. 전날 조계사에서 열린 '이태원 참사 추모 위령법회'에 이어 이날 오전 서울 서초구 백석대학교 서울캠퍼스 하은홀에서 열린 한국교회 위로예배에 김건희 여사와 함께 참석한 윤 대통령은 ""부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루 아침에 잃었다. 마음이 무겁다. 참으로 가슴이 아프다""며 이렇게 말했다. 윤 대통령은 ""무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것""이라며 ""이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔""이라고 했다. 이어 ""늘 어려운 이웃에 든든한 버팀목이 되어준 한국교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다""며 ""저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도를 부탁드리겠다""고 말했다. 이날 예배에 모인 성도들은 ""아멘""하며 윤 대통령의 위로사에 답했다. 위로예배에는 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 안보실2차장, 김일범 의전비서관, 진선영 사회공감비서관 등이 참석했다. 기독교계에서는 김삼환 명성교회 원로목사, 김장환 극동방송 이사장, 장종현 대한예수교장로회 백석 총회장, 이순창 대한예수교장로회 통합 총회장, 김주헌 기독교대한성결교회 총회장, 오정현 사랑의교회 담임목사, 김진오 CBS 사장, 이재천 백석대학교 대학원 부총장, 배광식 CTS기독교TV대표이사, 이봉관 대한민국조찬기도회 회장, 이배용 국가교육위원회 위원장 등 한국교회 지도자와 성도 1천여 명이 함께했다. 검은색 정장 차림의 윤 대통령 부부는 예배당 맨 앞 중앙에 앉아 함께 예배를 드렸다. 윤 대통령은 2부 예배부터는 무대 위에 마련된 자리에 앉아 두 손을 모으고 경청했다. 김건희 여사는 예배안내서를 보며 찬송가를 따라 불렀다. 예배가 진행된 백석대학교 서울캠퍼스 하은홀 안에는 '한국교회 이태원 참사 위로예배, ""우는 자와 함께 울라(롬 12:15)""'는 현수막이 중앙에 걸렸고 무대 위에는 조화가 놓여졌다. ? 이배용 국가교육위원회 위원장의 요한복음 11장 33~36절 성경봉독에 이어 김삼환 명성교회 원로목사가 ""친구의 무덤에서 예수님의 눈물""이라는 제목으로 설교했다. 김삼환 목사는 ""다 같이 예수님처럼 함께 울어야 하겠다""며 ""한 마음으로 모두 이 아픔에 눈물로 참여한다면 그 가족들과 대한민국은 다 같이 위로받고 일어날 수 있다""고 했다. 이어 ""종교계는 어제도 대통령께서 불교 조계종에 가셔서 위로의 자리를 만들어 주신 데 대해서 참 잘하셨다, 고맙게 생각한다""고 감사의 뜻을 전했다. 김 목사는 ""대통령께서 연일 하루도 빠지지 않고 조문하고, 이 행사에 참여한 것은 제가 알기로는 대한민국 역사의 처음 있는 일""이라며 ""이 아픔을 한 나라의 어른으로 부모의 심정으로 비통한 마음으로 참여하는 그 마음을 우리 온 나라가 잘 받아들여서 함께 대한민국과 한국교회를 살리고, 위로의 주님이 그 가족과 이 자리에 오셔서 이 민족을 다시 일으켜 주실 줄로 믿는다""고 말했다. 김 목사가 설교 도중 울먹이자 성도들도 곳곳에서 슬픔을 감추지 않았다. 고명진 수원중앙침례교회 담임목사는 추모사에서 ""오늘 우리 한국교회가 그분들 곁에 있겠다. 함께 울며 마음을 같이 하겠다""며 ""주님께서 유가족 친지들을 보듬고 안아 주시고 심한 부상으로 사경을 헤매는 분들을 속히 치유하여 주십시오""라고 말했다. 용산구 교회와구청협의회 회장인 지성호 목사가 감사인사를 전하고 특별 기도시간이 이어졌다. 한교총 전 상임회장인 한기채 중앙성결교회 목사가 먼저 '희생자와 부상자 가족을 위하여', 기독교대한감리회 중부연합감독인 김찬호 목사가 '교회의 대사회적 책임을 위하여', 그리고 이봉관 장로가 '안전한 대한민국을 위하여'라는 제목으로 기도했다. 이순창 대한예수교장로회 통합 총회장은 '국가와 사회를 위한 한국교회의 입장문'을 통해 ""정부는 애도하며 추모하는 국민의 아픔을 위로하며, 생명과 안전을 견고히 하는 사회가 되도록 노력해 주기를 기대하고 바란다""며 ""한국교회 1천만 성도들이 고통하는 이들과 손잡고 같이 가겠다""고 했다. 한 시간여 동안 진행된 이날 위로예배는 김장환 극동방송 이사장의 축도를 끝으로 모든 순서를 마쳤다. CBS노컷뉴스 곽인숙 기자 cinspain@cbs.co.kr",https://v.daum.net/v/20221105153307435
0,4.81,33.53,24.12,43.15,23.23,57.13,"尹 대통령 '이태원 참사' 위로 예배서 ""지켜주지 못해 미안한 마음""","[아시아경제 이민지 기자] 윤석열 대통령이 5일 이태원 참사 위로 예배에 참석해 ""꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것""이라고 말했다. 윤 대통령은 이날 백석대학교 서울캠퍼스 하은홀에서 열린 '한국교회 이태원 참사 위로예배'에서 ""부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다""며 ""무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것""이라고 약속했다. 그러면서 ""이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔""이라며 ""늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다""고 당부했다. 윤 대통령은 또 ""저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다""고 요청했다. 윤 대통령은 전날 조계사에서 진행된 '이태원 참사 희생 영가 추모 위령법회'에 참석한 데 이어 이날 개신교계 추모 행사를 찾아 위로의 뜻을 전했다. 예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했다. 개신교계에서는 김삼환 명성교회 원로목사, 김장환 극동방송 이사장, 장종현 대한예수교장로회 백석 총회장, 고명진 수원중앙침례교회 담임목사, 김태영 백양로교회 담임목사, 이순창 대한예수교장로회 통합 총회장, 김주헌 기독교대한성결교회 총회장과 교인 등 총 1000여명이 자리했다. 이민지 기자 ming@asiae.co.kr",https://v.daum.net/v/20221105152553336
0,3.27,60.73,27.18,43.09,25.39,72.12,"尹대통령 ""청년들 못지킨 미안함 영원히 남을 것""","             [서울경제]             윤석열 대통령이 ""꽃다운 청년들을 지켜주지 못한 미안한 마음은 영원히 저를 떠나지 않을 것""이라고 밝혔다.   예배에는 김건희 여사를 비롯해 대통령실 김대기 비서실장, 김용현 경호처장, 김은혜 홍보수석, 강승규 시민사회수석, 임종득 국가안보실 2차장, 김일범 의전비서관 등이 참석했다. 박성규 기자 exculpate2@sedaily.com            윤 대통령은 5일 백석대학교 서울캠퍼스 하은홀에서 열린 '한국교회 이태원 참사 위로예배'에서 한 위로의 말에서 ""부모님은 사랑하는 자녀를, 친구들은 소중한 벗을 하루아침에 잃었다""며 이같이 말했다. 윤 대통령은 ""마음이 무겁다. 참으로 가슴이 아프다""면서 ""무한한 책임감으로 이러한 비극이 발생하지 않도록 할 것""이라고 약속했다. 그러면서 ""이 비극은 우리 모두의 슬픔이고 우리 모두의 아픔""이라며 ""늘 어려운 이웃에 든든한 버팀목이 되어준 한국 교회와 성도들께서 사랑으로, 또 믿음으로 우리 사회의 아픔을 보듬어 주시기를 부탁드린다""고 당부했다. 윤 대통령은 또 ""저와 정부가 마음을 다하고, 온 힘을 다해 안전한 대한민국을 만들 수 있도록 성도 여러분의 많은 기도 부탁드린다""고 요청했다.",https://v.daum.net/v/20221105151549153
