일본,1420,15
스페인,1050,15
독일,646,15
예산안,545,16
처리,543,16
한국,500,2
포르투갈,487,2
물가,430,18
방송,427,6
대통령,393,1
민주당,382,6
화물,378,8
본회의,364,16
파업,297,8
노조,270,8
국민,267,6
가나,258,2
제재,226,17
택시,223,9
실장,211,1
장관,195,3
골프,194,19
전,193,1
전,193,3
특수본,188,4
상승,185,18
승률,176,18
혐의,175,3
마약,157,11
청장,156,4
사회,156,19
북한,145,17
검찰,136,11
대마,132,11
지수,129,12
그룹,126,19
수사,118,4
중국,109,7
할증,102,9
벨기에,94,21
대상,92,17
아파트,89,12
매수,88,12
대통령,87,7
선거,85,10
화물,73,14
수사,72,5
선거,71,13
심야,67,9
수사,66,13
켈리,65,20
수사,59,10
경찰,58,14
차량,56,14
지방선거,55,13
검찰,53,5
감독,52,21
주석,51,7
플럿코,50,20
월드컵,45,21
차관,41,5
경찰,41,10
달러,41,20
